word,color,congruent,corrans,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,inverse1.thisRepN,inverse1.thisTrialN,inverse1.thisN,inverse1.thisIndex,conven1.thisRepN,conven1.thisTrialN,conven1.thisN,conven1.thisIndex,intro_text.started,intro_text.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,text.started,text.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,ready_text.started,ready_text.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.started,key_resp_4.stopped,ISI.started,ISI.stopped,trial_text.started,trial_text.stopped,resp.keys,resp.corr,resp.started,resp.stopped,fixationtrial.started,fixationtrial.stopped,trial_display.started,trial_display.stopped,resp.rt,rest_text.started,rest_text.stopped,key_resp_8.keys,key_resp_8.started,key_resp_8.stopped,rest_beep_start.started,rest_beep_start.stopped,rest_beep_end.started,rest_beep_end.stopped,rest_display.started,rest_display.stopped,text_2.started,text_2.stopped,fixationmain.started,fixationmain.stopped,key_resp_7.keys,key_resp_7.corr,key_resp_7.rt,key_resp_7.started,key_resp_7.stopped,task_display.started,task_display.stopped,session,participant,date,expName,psychopyVersion,frameRate,
XANH DƯƠNG,GREEN,1,down,,,,,4,0,20,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,169.84805689999484,171.13053450000007,169.0319104999944,169.83065689999785,right,0,0.8736974000057671,169.84805689999484,None,169.0319104999944,169.0319104999944,001,1489,2019_Oct_14_1552,stroop short,3.1.5,60.022280274137294,
ĐỎ,YELLOW,0,left,,,,,4,1,21,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,172.8471669999999,174.1298409999872,172.03039859999262,172.83023949999188,up,0,0.8123830999975326,172.8471669999999,None,172.03039859999262,172.03039859999262,001,1489,2019_Oct_14_1552,stroop short,3.1.5,60.022280274137294,
ĐỎ,RED,1,left,,,,,4,2,22,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,175.84601249999832,177.12892550000106,175.02940780000063,175.82922829999006,left,1,0.47899829999369103,175.84601249999832,None,175.02940780000063,175.02940780000063,001,1489,2019_Oct_14_1552,stroop short,3.1.5,60.022280274137294,
XANH LÁ,BLUE,1,right,,,,,4,3,23,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,178.84560559999954,180.12870839999232,178.03071179999097,178.82877189999272,down,0,0.8105784999934258,178.84560559999954,None,178.03071179999097,178.03071179999097,001,1489,2019_Oct_14_1552,stroop short,3.1.5,60.022280274137294,
VÀNG,RED,0,up,,,,,4,4,24,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,181.84473899999284,183.12807439999597,181.02842930000043,181.82816150000144,left,0,0.7433931999985361,181.84473899999284,None,181.02842930000043,181.02842930000043,001,1489,2019_Oct_14_1552,stroop short,3.1.5,60.022280274137294,
XANH LÁ,BLUE,1,right,,,,,5,0,25,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,184.84415379998973,186.12741599998844,184.0291428999917,184.82743530000153,down,0,0.9696272000001045,184.84415379998973,None,184.0291428999917,184.0291428999917,001,1489,2019_Oct_14_1552,stroop short,3.1.5,60.022280274137294,
ĐỎ,YELLOW,0,left,,,,,5,1,26,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,187.84388919999765,189.12678500000038,187.0274347999948,187.82720210000116,up,0,0.7423640999913914,187.84388919999765,None,187.0274347999948,187.0274347999948,001,1489,2019_Oct_14_1552,stroop short,3.1.5,60.022280274137294,
VÀNG,RED,0,up,,,,,5,2,27,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,190.84325649999664,192.12602179999521,190.02684099999897,190.82638769999903,left,0,1.0532837999926414,190.84325649999664,None,190.02684099999897,190.02684099999897,001,1489,2019_Oct_14_1552,stroop short,3.1.5,60.022280274137294,
ĐỎ,RED,1,left,,,,,5,3,28,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,193.84259219998785,195.12552829999186,193.02612159999262,193.8257147999975,left,1,0.48829019999539014,193.84259219998785,None,193.02612159999262,193.02612159999262,001,1489,2019_Oct_14_1552,stroop short,3.1.5,60.022280274137294,
XANH DƯƠNG,GREEN,1,down,,,,,5,4,29,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,196.8421013999905,198.1248576999933,196.028201299996,196.82512270000007,right,0,0.8729346000036458,196.8421013999905,None,196.028201299996,196.028201299996,001,1489,2019_Oct_14_1552,stroop short,3.1.5,60.022280274137294,
